name,id,minutes,contributor_id,submitted,n_steps,description,n_ingredients
100  whole wheat bread  abm,292147,220,379836,2008-03-17,6.0,"i wanted 100% which is light and fluffy so i started tinkering away and this is the recipe i got. i really love it and it's easy-peasy, lemon-sqeasy as my kids would say. as a result, i've retired my 50-50 bread. hopefully s",8.0
100  whole wheat bread  bread machine,221429,250,72748,2007-04-08,7.0,this recipe was included with my old black and decker bread machine.  this bread is wonderful.,
100  whole wheat buttermilk pancakes,218671,35,462577,2007-03-25,,"most whole wheat pancake recipes sneak in some refined flour, but not these!  
great to make ahead and freeze for later.",
1000 island vegetable dip,121712,20,210965,2005-05-12,3.0,this is a delicious yet quick and easy vegetable dip.  i got this recipe from my mom.  it has been a favorite at family gatherings for years.  i like to substitute low cal/fat/carb ingredients to reduce calories and fat.  enjoy!,2.0
110 in the shade,235003,725,126687,2007-06-15,,"a malty, sharp, chilly & hot breathtaking blast of flavor we used to
enjoy poolside in phoenix.  recipe from the
cafe terra cotta in tucson.  later the black mountain brewing company in cave creek began brewing their own chili beer with a whole serrano chili in the bottle, an equally good poolside libation.",
12 minute corn chowder,43669,12,26278,2002-10-22,6.0,"this creamy corn chowder is quick, easy and so tasty. it calls for evaporated milk...and that's the secret.",8.0
12 hour tomatoes,449768,750,1072593,2011-02-28,19.0,from joe yonan's cookbook.,
123 cake,257696,50,57042,2007-10-08,8.0,i have not tried this recipe. i got it from parish pickens from lakeshore united methodist. the recipe was submitted by mary knighton.,
14 minute maple candy,53353,60,63855,2003-02-04,3.0,here's a recipe a friend sent when i wanted to make homemade maple candy. let me know what you think of it!,
15 layer russian honey cake,115160,75,167864,2005-04-04,13.0,"i recently tried a russian honey cake, which was one of the yummiest cakes i have ever tasted. it was so nice i decided to find the recipe and learn to make it myself. it took me about 6 months searching the net (on websites mostly in russian, which i definitely don't read or speak) translating from russian using an online translator, and trying different recipes before i found this recipe, which has produced a result at least as nice as the one i tried.

i baked 2 pieces at a time on baking paper on an oven tray. each batch took just long enough to cook, that i had two more ready to swap when the first ones were done.

the cream filling (and coating) is made from sour cream and sugar. the sour cream is simply whipped with the sugar until the sugar dissolves. the original recipe said to add sugar ""by intuition""; i think you're supposed to keep adding more until it thickens, but the time i tried that it was too sickly sweet!

i have also made the filling/coating using fresh cream - 750ml, soured with 1/2 cup lemon juice and beaten until just starting to thicken (you still use the sugar & honey). this was for a vegetarian who pointed out that the cultured sour cream i used had gelatin in it. a slightly different taste, but a very nice variation.

i personally don't like walnuts all that much, so i leave them out whenever i cook this.",
15 minute beef stew,140172,30,53959,2005-10-05,4.0,from a lipton email newsletter.,7.0
15 minute chicken and rice dinner,392598,25,189030,2009-09-30,8.0,this recipe is an old campbell's soup recipe. its simple and very good.,7.0
15 minute chili cheeseburger skillet,356163,15,524879,2009-02-16,9.0,a super simple stove top dish.  especially good on cold nights.  i originally got this from a kraft box i believe.,
15 minute shrimp carbonara fettuccine,140173,30,53959,2005-10-05,4.0,"haven't tried this yet, but it looked delicious.",8.0
15 minute stir fried chicken   asparagus,289025,15,146742,2008-02-27,9.0,"this is from ""world's healthiest foods"".  i tried this because it is so easy and quick to make.  the asparagus is wonderful, too.  it fits most any health diet, though it did'nt include  nutrition data  with it.  this is one i'll be making often.  i used powdered ginger, as i don't usually have fresh ginger on hand.",11.0
15 minute vegetarian chili,291409,15,516405,2008-03-12,3.0,when i was a vegetarian as a teenager i used to make the recipe all the time. it is very inexpensive (maybe $3 for the recipe) and takes almost no time at all. eat alone or use it as a burrito filling. omit the cheese for a vegan recipe.,
15 minutes oatmeal  rice cooker,282812,15,470110,2008-01-29,6.0,my own version of oatmeal cooked in the rice cooker. all it takes is only 15 minutes of your time :),8.0
17 day diet   turkey eggplant parmesan,489337,45,2467678,2012-10-26,,"eggplant parmesan, an italian standby, is one of my favorite dishes. we developed this quick version so that i could have it more often. it’s super low in carbs and fat, and you won’t even miss the breading. - dr. mike moreno",8.0
1930 s apple and nut pie,250900,80,131674,2007-09-04,10.0,i tore this recipe out of family circle.  i have not tried it yet but it sounded very easy to do. would be great topped with vanilla ice cream,
1940s vinegar cake    egg free,160494,16,303454,2006-03-20,,"egg free and very moist you can make a cake or do muffins and its so easy, and if you wanted you could safely lick the spoon as its egg free.",7.0
1960 tomato gravy,245950,25,70073,2007-08-12,,from an index card in a recipe box i bought at a garage sale in 1960. the recipe uses canned tomatoes but i have also used fresh tomatoes with great results too. substitute olive or vegetable oil for the bacon grease if you like but the taste won't be quite the same. good with meatloaf or for serving with leftovers or biscuits.,9.0
1st place banana nut bread,388578,80,486032,2009-09-03,,"from ""the green thumb harvest"" cookbook. this won first prize in 1889 at the wabash, indiana county fair by her great-grandmother according to the woman who submitted it. this makes 2 loaves.",
1st place fair cheese bread,360881,65,663997,2009-03-15,,"came out of my los angeles fair cookbook.
serve with chili or soup.",9.0
2 by 4 soup,453243,40,1618462,2011-04-07,5.0,a hearty soup(i might even qualify it more as a stew) great for filling bellies on a cold day. great for stretching a dollar!,4.0
2 day herb marinated pimiento stuffed olives,101260,15,4470,2004-10-05,,this marinade gives an extra zip to you usual pimiento stuffed olives. do not keep more tham a few days so only make what you plane to use. lovely served along with other appetizers.,7.0
2 minute broccoli,256464,4,165433,2007-10-01,7.0,"so easy.  tender crisp.  hot, steamed broccoli in 2 minutes. do it.",2.0
2 minute low fat strawberry and banana custard comfort food,122791,2,211960,2005-05-18,18.0,"i needed a delicious sugary fix and fast and as i'm suffering a bit a of a cold/flu virus as i type this, and much to my extreme irritation i can hardly taste anything :(  i guess my body needs extra energy to fight off the infection - well this will certainly help boost the energy and this really simple and extremely sweet strawberry-banana instant dessert certainly tastes great !  i wanted as few calories and fat as i could persuade my cravings to settle for - so obviously there are a few - but they're all made up of good stuff :) very little fat and not so many calories that i'm being ridiculous.",
2 x 2 cottage cheese smoothie,214264,5,324993,2007-02-27,,"yet another smoothie/milkshake experiment gone well. yea, i love cottage cheese, you can tell.",7.0
2 2 2 diet mocha,416599,5,789314,2010-03-15,5.0,"while trying to come up with a satisfying ""snack"" or dessert that fit the requirements of my low carb, low calorie, low fat diet (ugh, but i'm only on it for 3 weeks as a jumpstart), i invented this. (i've experimented often with do-it-yourself coffee mixes, and i think this is better than most.)  i'm mostly putting this here to calculate the nutritional information.

for cocoa, use the best you can find.  currently i'm using ghirardelli unsweetened cocoa, from a 10 oz. can, sold in the baking section of publix.  my current sweetener is sucaryl tablets (from canada), and i use 2 tablets (easy to remember--that's why i tried these proportions).

[edit after publishing: when i found out the total carb count and realized it was too high due to the milk powder, i decided to wait until i go back to low-carbing and then use cream which has zero carbs.  however, this is still quite low in calories, so many dieters should find it useful.]",7.0
