,name,preprocessed_descriptions
155,3 alarm chili,i was in the mood for chili but i couldnt find a good recipe that i liked so i took some ideas and created this  of course you can use half a jalepeno or a chili or use no pepper for a mild chili but the jalepeno gives it a nice kick add more or less seasonings depending on taste 9 i cant really remember the exact measurements
156,3 cheese baked ziti,i got this from a ragu ad
157,3 cheese bean dip,cheesy spicy good serve with chips or veggies
158,3 cheese chicken enchiladas,bhgcom
159,3 cheese chicken penne,going off of applebees dish decided to try my own version at home this is made with a jarred alfredo sauce for quick meals but of course homemade is always better feel free to use your favorite alfredo for really quick meal use the precooked chicken slices you can find in the freezer section at your grocer freezer
160,3 cheese lasagna,i like everything in my lasagna but theres gotta be 3 cheeses and meat to make it properits even better if you add a little cheddar feta and gouda of course the goudas just getting excessive
161,3 cheese spinach roasted red pepper calzones,very very easy to make meal that will please almost anyone what a great way to get the little ones to eat spinach heh 8
162,3 cheese toasted sandwiches,the mixture of melted cottage cheese cheddar cheese and parmesan cheese is irresistible paired in crisp toasted bread  delicious from better homes and gardens new dieters cookbook
163,3 corn casserole bread,i served this with goulash and it was perfect
164,3 day goulash,i sort of invented this goulash with the help of my wife i was trying to make a goulash like my mom served to all of the youngunsand i was one of them i enjoy eating it and after eating a couple of bowls there is enough left to put in the refrigerator to warm up and enjoy again for the next 2 days sure hope you try itand that you like it as much as i do
165,3 fruit salad,we have this at the holidays like everyone else for 3 generations its very easy and very good a good beginning job for the cooks that want to help the faster you peel and chop the faster this dish is lol
166,3 hour old fashioned oven pot roast,delicious pot roast  the meat stays together so it is easily sliced but tender too fabulous gravy
167,3 ingredient fabulous salsa    delicious  fresh and so easy,born and raised in texas i am a snob when it comes to mexican food i have tried so many recipes for the perfect salsa and always come back to this one its absolutely delicious fresh amazingly healthyand only 3 ingredients trust me simple is the way to go with fresh salsa
168,3 ingredient moroccan dry rub,who says that recipes have to be complicated to be amazing this one will prove that it doesnt try it on chicken or really any other meat great for grilled veggies too you only have to remember to use equal parts of each spice to make this this is a chatelaine magazine recipe enjoy
169,3 ingredient pumpkin spice cupcakes,these are so moist chewy and delicious plus  you can make them so easily not to mention its vegan
170,3 ingredient sausage squares,this can easily be halved and baked in an 8x8 pan
171,3 ingredients coconut milk powder burfi,this was submitted by usha l acharya to the thursday magazine dated jan 6th12th06 enjoy
172,3 layer chocolate peanut butter bars,ohhi think i gained 10 pounds just typing this one heh does this sound goodor what 8
173,3 layered mexican dip,this recipe is really good and simple i make it for all kinds of parties and its always all gone by the time we go home
174,3 meat stromboli,this recipe is a taste of home spin off with a couple of things changed to give it more flavor  we found this final recipe worked the best and tastes delicious dont worry if your meat or cheese doesnt cover everything you will be rolling this up so it will be fine also create you combination of herbs i used a seasoned mix from penzeys and used that and it was wonderful
